Time,Title,Author
11:30,Caretography - Mapping Difficult Issues with OpenStreetMap during Difficult Times,David Garcia;Martin Dittus
11:30,Integrating and validating open data in OSM using street pictures,Adrien Pavie
11:30,New processes to agree on tagging suggestions and their interaction with the editing software available on openstreetmap.org,Roland Olbricht
12:00,Introduce OpenPlaceReviews and connect to OpenStreetMap,Victor Shcherb
12:30,Access to Prosperity: Quantifying Infrastructure Impact With OSM,Davey Lovin
14:00,Pedestrian routing in complex areas: the case of Paris railway stations,Antoine Riche
14:00,Norway: Successful deployment of OSM in Public Transport,Johan Wiklund
14:30,Automatically annotate a pedestrian route with OSM landmarks,Frédéric Rodrigo
14:30,Public Transport Navigation using OpenStreetMap by OsmAnd,Victor Shcherb;Eugene Kizevich
15:00,From car routing to train routing,Denis Cheynet
15:00,OSM Vector Tiles in custom coordinate systems,Jiri Komarek
09:00,Bridging the Map? Exploring Interactions between the Academic and Mapping Communities in OpenStreetMap,A. Yair Grinberger; Marco Minghini; Levente Juhász; Peter Mooney; Godwin Yeboah
10:00,Analysis of OSM data through OSM-Notes user posting,Toshikazu Seto; Hiroshi Kanasugi; Yuichiro Nishimura
10:30,A novel application of models of species abundance to better understand OpenStreetMap Community structure and interactions,Peter Mooney
11:30,Towards Scalable Geospatial Remote Sensing for Efficient OSM Labeling,Rui Zhang; Marcus Freitag; Conrad Albrecht; Siyuan Lu; Wei Zhang
12:00,Estimating latent energy demand of buildings,Nikola Milojevic-Dupont; Peter-Paul Pichler; Lynn H. Kaack; Steffen Lohrey; Felix Creutzig
12:30,Client-side route planning: preprocessing the OpenStreetMap road network for Routable Tiles,Harm Delva; Julián Andrés Rojas Meléndez; Ben Abelshausen; Pieter Colpaert; Ruben Verborgh
14:00,Intrinsic assessment of OpenStreetMap contribution patterns through Exploratory Spatial Data Analysis,Marco Minghini; Daniele Oxoli; Francesco Frassinelli; Maria Antonia Brovelli
14:30,Corporate Editors in the Evolving Landscape of OpenStreetMap: A Close Investigation of the Impact to the Map & Community,Jennings Anderson; Dipto Sarkar; Leysia Palen
15:00,Exploring the Effects of Pokémon Go Vandalism on OpenStreetMap,Levente Juhász; Hartwig Hochmair; Sen Qiao; Tessio Novack
15:30,Analyzing the spatio-temporal patterns and impacts of large-scale data production events in OpenStreetMap,A. Yair Grinberger; Moritz Schott; Martin Raifer; Rafael Troilo; Alexander Zipf
16:30,Development after Displacement: Using OSM data to measure SDG indicators at informal settlements,Jamon Van Den Hoek, Hannah Friedrich, Anna Ballasiotes, David Wrathall
17:00,Analysis of OpenStreetMap data quality at different stages of a participatory mapping process: Evidence from informal urban settings,Godwin Yeboah; Rafael Troilo; Vangelis Pitidis; João Porto de Albuquerque
17:30,Assessing the Completeness of Urban Green Spaces in OpenStreetMap,Christina Ludwig; Robert Hecht; Sven Lautenbach


