id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
916	convolutional neural network (cnn)	0.739	-0.7605	2	21	25	5	2021.8	11.4	1.4334
917	convolutional neural networks	0.6503	-0.4514	2	39	54	14	2020.4286	21.4286	1.3909
960	cover	0.1587	-0.5146	2	100	168	30	2020.5333	21.2	1.6399
961	cover change	0.1202	-0.5578	6	31	33	5	2020.2	9.4	0.6761
965	coverage	-1.0951	0.3541	3	13	14	5	2018.6	7.4	0.4992
977	credibility	-0.0038	0.8253	1	27	35	6	2018.6667	10.8333	0.6425
979	crime	-0.9716	0.1376	3	15	15	5	2020.2	1.2	0.165
1011	crowd	-0.2126	0.5802	1	37	53	11	2020.3636	14.6364	0.967
1020	crowd-sourcing	0.0702	-0.7369	5	32	36	10	2016.2	33.1	1.5539
1028	crowdsourced data	0.2196	0.2784	1	32	35	7	2018.8571	40.8571	2.1804
1044	crowdsourcing	-0.0964	0.4214	1	144	302	75	2017.4267	22.5067	0.9387
1098	data analysis	-0.0056	0.2732	1	27	30	10	2019.3	5.7	0.3715
1120	data fusion	0.4101	-0.44	2	64	98	17	2020.1176	21	1.7138
1135	data matching	0.0477	0.5761	1	14	17	6	2019	12.5	0.6101
1136	data mining	0.7212	-0.5103	2	52	76	16	2019.1875	22.6875	1.6655
1140	data models	0.707	-0.6887	2	30	54	8	2021.25	13.875	1.0118
1145	data quality	-0.0929	0.3417	1	109	234	60	2019.0667	12.8167	0.8757
1167	database	0.5012	-0.0911	2	33	35	9	2019.4444	20.5556	1.8533
1174	dataset	-0.1529	0.2217	1	25	28	5	2021	7	1.4347
1206	deep learning	0.4503	-0.4739	2	133	285	65	2020.8154	14.7692	1.222
1247	density	-0.3989	-0.4731	3	85	126	21	2020.9524	33.0476	2.5043
1259	design	-0.2486	0.0759	3	108	154	32	2020.1875	19.4688	1.4221
1275	determinants	-0.6069	0.3605	1	20	22	5	2020.6	11.4	1.3696
1295	digital divide	-0.8085	0.5521	1	24	27	6	2018.1667	15.5	0.8471
1296	digital earth	-0.3986	0.6162	1	22	23	5	2015	50.6	1.7265
1297	digital elevation model	0.4762	0.0704	6	17	19	5	2020.8	5.2	0.6611
1333	disaster	0.0845	0.7246	1	24	25	6	2018.3333	15.8333	1.2339
1336	disaster management	0.0054	0.7194	1	29	34	8	2018.75	15.375	2.9508
1341	disaster response	-0.0369	0.2853	1	28	33	9	2016.8889	17.2222	0.7454
1358	distance	-1.1379	0.1913	3	29	40	9	2020.4444	28	1.5981
1377	diversity	-0.3583	0.1716	1	33	43	9	2020.6667	12.8889	1.2316
1438	dynamics	-0.1411	-0.4427	2	75	89	15	2021.0667	14.8667	1.6035
1443	earth	0.3711	-0.3931	2	52	62	9	2020.3333	20.8889	1.7842
1444	earth observation	0.3893	-0.3343	2	23	25	5	2022	4	0.9324
1449	earthquake	0.1088	-0.8952	5	29	39	9	2021.3333	5.8889	0.8832
1473	ecosystem services	-0.247	-0.3699	2	32	34	5	2020.8	34.8	2.3042
1488	electric vehicles	-0.6367	0.507	3	12	12	6	2021.3333	7.1667	0.531
1513	emergency response	0.0485	0.3845	1	7	7	5	2018.2	14.6	0.6165
1518	emissions	-0.5245	-0.1781	3	22	24	6	2020.6667	25.5	1.1027
1532	energy	0.2672	0.308	1	21	22	7	2018.4286	19.4286	0.9292
1564	environment	-0.6433	-0.0862	3	53	61	12	2020.5833	11.6667	0.8661
1574	environments	-0.8266	0.111	3	33	34	9	2019.8889	18.3333	1.6286
1607	evolution	-0.4903	-0.2729	3	40	54	9	2019.5556	11.1111	0.7577
1610	evolutionary algorithm	1.6916	0.1866	4	15	45	10	2015.9	9.6	0.5353
1618	expansion	-0.0364	-0.5922	2	50	57	10	2020.2	29.2	2.7713
1624	exploration	-0.718	-0.7051	3	20	20	5	2018.4	13.2	1.1533
1628	exposure	0.0106	-0.8228	5	59	81	18	2020.7222	40.3889	3.194
1638	extraction	0.5578	-0.4061	2	87	153	32	2020.3125	21.3438	1.5378
1676	feature extraction	0.7356	-0.602	2	55	115	15	2021.2667	19.2	1.994
1684	features	0.1511	0.0649	1	59	91	16	2019.375	41.625	2.1121
1730	flickr	-0.177	0.8987	1	21	28	8	2017.75	64.375	3.0218
1733	floating car data	-0.7171	0.0951	3	13	13	5	2017.8	3.6	0.1877
1759	flow	0.5257	0.0495	6	24	27	6	2021.8333	6.8333	0.6645
1775	footprints	-0.0112	0.2227	1	44	71	16	2019.5625	21.8125	2.684
1776	forest	0.1915	-0.0853	1	30	34	8	2019.375	24.375	1.3184
1788	form	-0.5169	-0.5122	3	46	62	11	2019.9091	30.5455	1.9037
1802	framework	-0.0646	-0.042	1	71	82	17	2021.0588	24.8235	2.0968
1832	fusion	0.3026	-0.6821	2	45	52	7	2020.1429	36.7143	2.346
1833	future	-0.3308	0.5313	1	43	58	13	2017.3077	23.3846	1.2527
1870	gender	-0.6996	0.7129	1	27	31	6	2018.1667	18.8333	1.1212
1884	generation	0.4828	0.2405	6	25	28	10	2019.2	36.6	2.0149
1889	genetic algorithm	0.9293	0.3729	4	23	26	10	2020.4	7	0.6133
1919	geoai	-0.5858	-0.6906	3	30	39	7	2022.4286	13.8571	2.7443
1922	geocoding	0.0794	0.9834	1	19	19	6	2019.5	15.3333	0.8189
1940	geographic information	-0.1324	0.3175	1	77	123	28	2016.5	20.1071	0.8235
1947	geographic information system	-1.1445	0.3348	3	13	14	7	2019.7143	8.4286	0.4743
1949	geographic information systems	-0.1744	0.0292	3	62	67	20	2018.25	16.25	0.7076
1954	geographic information-systems	-0.2929	0.4718	1	28	30	6	2018.3333	29.6667	1.5898
1971	geographical information	-0.7284	0.2182	3	26	30	10	2019.1	25.2	1.5096
1974	geographical information systems	-1.0438	-0.3622	3	20	23	5	2020.8	5.2	0.4597
1983	geography	-0.7307	0.5624	1	27	30	7	2018.2857	39	2.0501
2028	geospatial analysis	-0.3163	-0.8868	2	22	24	6	2020.6667	22.5	1.3729
2030	geospatial big data	0.0806	-0.5047	2	51	68	11	2020.7273	19.3636	1.5496
2033	geospatial data	0.0575	0.6502	1	65	82	22	2019.3182	15.5455	1.109
2071	geoweb	-0.2753	0.6809	1	34	46	9	2016.6667	30.7778	1.0202
2081	gis	-0.1757	0.2459	1	207	418	105	2018.2571	38.9333	1.5604
2088	giscience	-0.6991	-0.6708	3	32	40	6	2020.6667	28.8333	3.4056
2117	global positioning system	1.318	0.0567	4	25	27	6	2019.5	22.1667	0.7007
2146	google earth engine	0.1005	-0.4572	2	84	141	21	2021.0476	23.7619	1.8387
2161	gps	0.7924	0.4214	4	43	51	20	2019	8	0.5043
2191	graph theory	0.8139	-0.3262	2	11	13	5	2020.8	8	0.6788
2200	graphs	0.787	0.2699	4	12	14	5	2018.6	9.2	0.5777
2213	green space	-1.087	-0.0166	3	30	33	7	2020.2857	13	1.5051
2237	growth	-0.3796	-0.3626	2	91	152	27	2019.8148	22.7407	1.5921
2271	hazards	-0.0319	-0.0547	5	27	31	6	2019.5	11.1667	0.7688
2278	health	-0.7763	-0.0713	3	94	131	30	2020.7667	19.7667	1.4906
2300	heat-island	0.1736	-0.7344	2	32	34	6	2021.6667	31.6667	4.0839
2396	human mobility	-0.3327	-0.0913	3	30	37	9	2019	13.4444	1.1537
2409	humanitarian mapping	-0.3177	0.3743	1	32	44	9	2020.7778	15.1111	1.0588
2443	identification	-0.0999	-0.5924	2	49	56	8	2021.125	19.875	1.6394
2447	image	-0.6242	-0.7329	3	25	34	5	2021	14.8	2.2
2451	image classification	0.4417	-0.6882	2	44	51	10	2019.1	48.1	2.5831
2463	image segmentation	0.7776	-0.5377	2	40	65	10	2020.2	6	0.4565
2465	image-analysis	0.5752	-0.2201	2	22	27	5	2019.6	14	0.8235
2467	imagery	0.2077	-0.3744	2	89	150	23	2019.8696	22.0435	1.2627
2468	images	0.3286	-0.5242	2	92	143	23	2020.1304	37.3478	2.2554
2471	impact	-0.5542	-0.1198	3	118	164	33	2020.5152	22.1818	1.6062
2474	impacts	-0.0139	-0.453	2	70	85	17	2020.1176	27.2353	1.7237
2479	implementation	0.0469	-0.165	2	23	25	5	2017	23.6	0.7196
2501	index	-0.0529	-0.5005	2	70	103	18	2020.6667	24.1667	1.8423
2511	indicators	-0.4129	-0.1803	3	75	91	17	2019.7647	28.4706	1.6881
2537	inequality	-0.7581	0.3648	1	21	24	6	2020.3333	18.1667	1.1957
2549	information	-0.0657	0.2375	1	277	798	183	2018.6776	25.3607	1.4129
2572	infrastructure	-0.2867	-0.2985	3	89	111	21	2020.8571	32.6667	2.5818
2595	integration	0.0558	0.286	1	55	69	15	2016.7333	18.4	0.7772
2606	intelligent transportation systems	1.3133	0.0934	4	15	15	6	2019.3333	6	0.4349
2631	internet	0.0914	0.2099	1	49	65	11	2017.7273	33.2727	1.2165
2662	inundation	0.2468	0.2354	1	15	18	5	2020.4	26.8	1.6312
2677	issues	-0.1882	0.4295	1	29	36	7	2018.8571	19	2.3701
2680	its	1.4851	0.1959	4	10	13	6	2020.3333	5.6667	0.3781
2723	knowledge	-0.177	0.5349	1	54	73	13	2017.4615	33.6923	1.3369
2726	knowledge graph	0.1006	1.2593	1	9	12	6	2021.3333	9.1667	1.5826
2754	land	0.3851	-0.0793	6	17	18	6	2019.6667	11.6667	0.8879
2759	land cover	0.0978	-0.3004	2	51	80	17	2019.6471	20.1176	1.1605
2774	land use	0.0559	-0.3054	2	73	121	25	2018.48	23.12	1.1616
2791	land-cover	0.2103	-0.4268	2	90	146	25	2020.36	21.8	1.3781
2797	land-surface temperature	0.2433	-0.7893	2	37	40	8	2020.75	12.375	1.6113
2799	land-use	-0.3536	-0.2045	3	130	219	40	2020.025	23.65	1.6827
2809	landmarks	0.6557	0.5837	4	16	22	10	2018.1	7.9	0.4252
2810	landsat	0.0273	-0.4435	2	42	63	9	2019.1111	43.1111	2.361
2823	landscape	-0.1126	-0.5327	2	33	39	8	2018.875	30.25	1.6795
2828	landscape metrics	-0.3475	-0.4379	5	23	24	5	2019.8	26.6	1.6701
2868	law	-0.5471	0.2078	1	19	22	5	2020.2	13.6	1.4147
2900	level	-0.9355	-0.186	3	26	27	5	2018.8	24.8	1.463
2913	lidar	0.464	-0.0043	6	56	68	14	2018.4286	18.7857	1.1639
2915	lidar data	0.5528	-0.562	2	34	45	7	2018.4286	81.7143	4.2247
2949	linked data	0.1193	1.2457	1	15	16	6	2016.5	40.1667	1.427
2951	linked open data	0.1696	1.1269	1	10	10	5	2018.6	6.6	0.3639
2973	local climate zones	0.2538	-0.8173	2	16	18	5	2019	37.4	2.0239
2985	localization	1.0884	0.4362	4	26	29	11	2020.2727	8.4545	0.7153
2986	location	-0.5232	-0.0457	3	46	56	14	2020.2857	12.4286	0.7804
3014	location-based services	-0.4969	0.3976	1	10	12	6	2017.3333	4	0.2584
3060	machine learning	0.1543	-0.191	2	149	245	58	2020.4483	13.5	1.043
3076	management	-0.2086	0.1863	1	65	91	20	2021.15	10.95	1.5132
3081	map	-0.0393	0.1524	1	152	251	50	2018.74	35.96	1.8504
3097	map matching	1.309	0.2012	4	15	16	10	2020.5	9.6	0.6736
3112	map-matching	1.3476	0.094	4	11	12	5	2018.4	7.2	0.2815
3125	mapping	0.1732	0.5891	1	39	48	17	2016	15.4118	0.7982
3138	maps	0.0171	0.5389	1	70	122	33	2017.1515	25.6061	1.0627
3205	metadata	0.0907	1.3183	1	15	29	7	2018	6.5714	0.2822
3215	methodology	-0.4199	-0.3981	3	29	31	5	2021.2	45.6	3.6031
3216	metrics	-0.5066	-0.4539	3	35	45	7	2020.4286	46.8571	3.144
3221	micro-simulation	1.1984	0.1367	4	15	19	6	2018.5	5.1667	0.402
3268	mobile	-0.2594	0.8177	1	21	24	6	2018	51.8333	2.7057
3291	mobility	-1.0069	-0.0577	3	31	34	10	2020.3	7.1	0.4249
3311	model	0.1889	-0.2411	2	172	298	82	2019.6829	21.3171	1.5156
3323	models	-0.1009	0.1436	1	142	266	57	2019.1754	27.4912	1.6736
3325	modis	0.1652	-0.6631	2	26	27	6	2018.5	39.6667	1.4576
3345	mortality	-1.1293	-0.0526	3	24	28	13	2020.4615	36.7692	2.1116
3351	motivation	-0.2223	0.5639	1	46	70	18	2019.1667	15.3889	0.8853
3395	multi-source data	-0.1976	-0.8517	2	17	17	5	2021.4	15.4	1.2469
3442	multiscale	0.6168	-0.7151	2	38	43	7	2020.8571	17.1429	1.2327
3480	natural hazards	0.0345	-0.8839	5	19	22	6	2021.1667	15.8333	1.3442
3483	natural language processing	0.5713	0.6992	2	14	15	6	2019.8333	3.1667	0.8313
3491	navigation	0.6399	0.5536	4	50	78	25	2018.68	11.88	0.9418
3501	neighborhood	-0.7968	0.2753	1	21	24	5	2020.2	12	1.4762
3506	neighborhoods	-0.8795	0.0971	3	19	20	6	2021.1667	15	1.8565
3512	neogeography	-0.2929	0.5804	1	63	108	24	2016.625	20.5	0.8334
3518	network	0.284	-0.2689	2	119	193	40	2019.975	14.225	1.0422
3519	network analysis	-0.7744	-0.3003	3	46	54	11	2018.8182	23	1.3369
3538	networks	0.5879	0.0079	2	90	131	30	2019.1333	29.5667	1.5609
3541	neural networks	0.7853	-0.4931	2	41	45	9	2019.7778	26.7778	1.4099
3543	neural-network	0.7421	-0.733	2	28	33	5	2021.2	29.6	3.1486
3544	neural-networks	0.498	-0.4571	2	33	41	8	2020.375	47.625	2.8614
3612	obesity	-1.1317	-0.074	3	18	26	8	2021.25	7.625	0.564
3618	object detection	0.595	-0.4792	2	27	33	8	2020.5	25.25	1.9709
3673	ontology	0.0827	1.2713	1	38	57	18	2017.8889	12.7222	0.6286
3683	open data	0.029	0.2268	1	109	175	52	2019.1923	17.9808	0.9387
3700	open source	-0.0831	0.7153	1	28	34	11	2018.1818	13.1818	0.718
3701	open source data	-0.077	-0.2738	3	21	22	6	2018.6667	27.6667	1.3388
3708	open street map	0.9911	0.1783	4	15	18	9	2018.5556	3.4444	0.1415
3730	openstreetmap (osm)	0.0432	0.1611	1	138	261	58	2019	18.3276	1.0766
3734	openstreetmap data	0.1933	-0.5844	2	34	36	11	2020.4545	17.6364	1.4025
3768	optimization	0.6527	0.1321	4	75	103	24	2020	18.4167	1.1697
3788	osm	0.3426	0.5364	4	93	157	48	2018.7083	8.9167	0.5909
3869	parks	-1.1554	-0.0161	3	26	28	7	2019.2857	16.7143	0.9256
3881	participation	-0.3171	0.6031	1	43	54	9	2018.4444	18	1.1225
3904	path planning	1.173	0.4506	4	14	17	7	2020.5714	6.1429	0.5454
3906	pattern	-0.3615	-0.6808	2	39	47	11	2020.0909	13.5455	1.038
3911	patterns	-0.3129	-0.0104	1	150	283	61	2019.6721	27.7377	1.7588
3917	pedestrian	0.6355	0.5848	4	7	11	5	2016.6	11.2	0.4851
3923	pedestrian navigation	0.5966	0.6986	4	8	8	6	2016.3333	5.1667	0.3555
3930	peer production	-0.7724	0.7156	1	9	14	6	2017.1667	17.8333	0.9057
3934	people	0.4218	0.7592	4	15	18	8	2018.875	11.375	0.7554
3944	perceptions	-1.1596	-0.127	3	19	19	5	2021	14.4	1.1646
3947	performance	-0.3075	0.078	1	53	63	14	2020.8571	17.7857	1.278
3958	perspective	-0.1623	0.1401	1	31	32	5	2018.4	9.8	0.5501
3973	photogrammetry	0.7998	0.1491	6	17	17	5	2019.4	10.2	0.5983
3987	physical-activity	-1.0868	-0.0881	3	48	74	16	2020.5	18.5	1.6122
3998	place	-0.4514	0.6132	1	30	38	9	2016.3333	50.8889	2.3165
4040	poi	-0.6306	0.0461	3	30	32	8	2020.75	6.5	0.6743
4050	point clouds	0.6833	-0.2653	2	23	25	5	2021.6	3.8	0.3812
4051	point of interest	-0.5313	0.0109	3	20	23	9	2021.3333	8.4444	0.8136
4061	points	0.0094	-0.5161	2	75	131	23	2020.4783	23.4348	1.6454
4072	policy	-0.5612	0.1102	3	37	45	9	2020	17.1111	1.2627
4074	politics	-0.453	0.7001	1	20	31	7	2018.7143	22.5714	1.3631
4077	pollution	0.2399	-0.9055	2	20	23	8	2019.5	35.5	2.2348
4094	population	-0.2385	-0.4751	2	78	108	20	2020.5	15.25	1.0722
4098	population estimation	0.2743	-0.1818	6	21	25	5	2016.6	56	2.092
4108	positional accuracy	-0.0123	0.3717	1	42	60	13	2017.1538	47.1538	1.1925
4118	postgis	-0.4769	0.9096	5	14	16	6	2017.1667	12.3333	0.6353
4143	prediction	0.2384	-0.0081	1	31	34	9	2019.8889	6.6667	0.3912
4171	privacy	-0.4318	0.6231	1	11	11	6	2018.5	41.5	2.2492
4230	public health	-0.9665	0.0791	3	22	23	5	2021	5	1.6957
4251	public-participation	-0.2673	0.7195	1	21	27	5	2016.4	15.8	0.6578
4261	python	1.2527	0.0686	4	25	26	5	2020	151.8	5.9724
4264	qgis	-0.5981	0.8461	5	12	14	5	2019	29.2	1.8007
4271	quality	-0.1618	0.2974	1	185	425	102	2019.0098	14.4706	0.9793
4272	quality assessment	-0.1059	0.2848	1	169	482	105	2019.2952	19.0381	1.148
4329	random forest	0.0149	-0.357	2	95	132	25	2019.92	30.48	1.7427
4371	recognition	0.6802	0.3764	4	27	33	9	2020.1111	31.3333	1.6202
4374	reconstruction	0.5656	-0.1455	6	33	42	8	2018.625	44.25	2.1457
4401	region	0.1033	-0.2003	2	34	37	6	2021.5	5.5	0.9032
4411	registration	0.6188	-0.9198	2	7	7	5	2020.6	7.8	0.5312
4412	regression	-0.0722	0.0175	1	40	49	11	2019.1818	29.8182	1.3852
4421	reliability	-0.0407	0.4636	1	30	34	7	2020	19.8571	0.8061
4428	remote sensing	0.2617	-0.4337	2	187	487	85	2020.0824	20.7176	1.5076
4449	representation	0.2798	0.4075	1	20	20	6	2019.5	33.5	1.3937
4454	reputation	-0.1484	0.4801	1	23	41	8	2019.875	10.625	0.7242
4476	resilience	-0.6493	-0.42	3	45	50	10	2021.6	82.8	4.324
4478	resolution	0.3039	-0.4458	2	50	57	11	2019.9091	20.1818	1.595
4506	risk	0.0106	-0.271	5	56	78	15	2020.4667	10.9333	0.9191
4510	risk-assessment	0.0383	-0.9239	5	13	17	6	2021.6667	12.3333	2.2376
4518	road	-0.7385	-0.1077	3	22	24	8	2018.375	37.5	1.7356
4531	road extraction	0.771	-0.6185	2	37	67	12	2020.8333	12.3333	1.367
4545	road network	-0.1971	-0.2016	3	43	53	18	2018.3333	14.0556	0.6827
4556	road networks	-0.4331	-0.0526	3	67	105	21	2019.1429	12.9524	0.6693
4562	road traffic	1.6828	0.1838	4	21	44	11	2015.4545	14.4545	0.6012
4570	roads	0.7003	-0.4813	2	92	159	25	2020.88	20.2	1.9187
4601	route planning	0.6822	0.6071	4	21	23	10	2019.6	6.6	0.3972
4608	routing	0.61	0.505	4	49	69	19	2017.4211	13.3158	0.6766
4663	sar	0.3498	-0.7512	2	41	49	13	2018.9231	24.1538	1.5121
4669	satellite	0.1154	-0.758	5	32	35	6	2019.6667	37.3333	3.3061
4674	satellite imagery	0.4538	-0.3863	2	18	22	10	2019.5	5.5	0.3753
4676	satellite images	0.6	-0.801	2	41	49	10	2020.7	10.3	1.6661
4681	satellites	0.7914	-0.5839	2	38	50	5	2020.6	7.8	1.3173
4683	scale	-0.0921	-0.2061	6	86	106	20	2019.55	39	2.1925
4713	science	-0.079	0.4552	1	61	95	18	2017.3889	38.3333	2.0627
4741	segmentation	0.7024	-0.5524	2	74	131	24	2020	14.2083	1.2905
4745	selection	0.373	-0.0389	6	29	33	7	2019.5714	25.8571	1.2478
4781	semantic segmentation	0.6929	-0.4125	2	46	62	15	2021.9333	15.4	1.6559
4782	semantic similarity	0.0483	1.1198	1	13	18	8	2015.75	27.875	0.7718
4787	semantic web	0.0678	1.3078	1	20	33	8	2016.25	33.625	1.6941
4790	semantics	0.3858	-0.1729	2	43	51	11	2018.9091	10.6364	0.8754
4811	sensors	-0.0993	0.6106	1	65	105	20	2016.95	70.15	1.513
4817	sentinel-1	0.42	-0.5318	2	26	32	5	2020.8	12	0.8975
4819	sentinel-2	0.4161	-0.561	2	52	66	13	2020.8462	21.0769	1.7047
4833	services	-1.1098	0.2958	3	29	39	9	2020.1111	7	0.5773
4843	shape	0.4708	-0.2456	3	47	54	7	2020.5714	19.5714	1.9012
4872	similarity	0.3023	0.9274	1	13	13	5	2018	50.8	2.5027
4880	simulation	0.6052	0.0723	4	69	85	23	2019.4783	22.8696	1.8001
4912	slam	1.0922	0.4547	4	10	12	5	2018.4	12.2	0.5782
4924	smart cities	0.7461	0.2644	4	31	38	12	2019.0833	17.0833	1.8653
4925	smart city	1.6722	0.1847	4	43	72	23	2017.6957	9.5217	0.4824
4927	smart mobility	1.6872	0.1907	4	17	46	12	2016	7.6667	0.3037
4956	social media	-0.1943	0.3608	1	97	153	35	2019.2571	27.8857	1.9285
4962	social networks	-0.1221	0.9941	1	9	9	6	2018.8333	6	0.6999
4966	social sensing	0.0554	-0.6075	2	28	39	6	2018.8333	39	1.91
4989	software	-0.0108	0.6801	1	20	21	5	2017.4	19	1.2428
5011	space	-0.3857	-0.088	3	100	130	24	2018.6667	35.25	1.7061
5014	space syntax	-0.8894	-0.4719	3	39	47	6	2021.1667	141.3333	6.5393
5016	spaces	-1.152	-0.1616	3	20	23	5	2022.4	4.2	0.8371
5024	spatial accessibility	-1.1586	0.2754	3	10	14	5	2021.6	10.4	1.01
5026	spatial analysis	-0.729	-0.2373	3	46	56	16	2020.6875	14.8125	1.3216
5032	spatial autocorrelation	-0.5599	-0.3632	3	22	29	6	2022.1667	5.1667	0.5745
5042	spatial data	-0.2143	0.6795	1	48	72	22	2017.4545	22.0909	1.0115
5045	spatial data infrastructure (sdi)	0.0672	1.3226	1	18	32	5	2019.4	4	0.4396
5049	spatial data mining	0.3966	0.6393	4	11	13	6	2018.3333	8.6667	0.4892
5052	spatial data quality	-0.0315	0.3569	1	50	101	25	2018.04	40.48	1.458
5058	spatial database	-0.5018	0.921	5	8	8	5	2018.8	1.2	0.0643
